Population	Genotypes	P_HWE	FREQ
pipiens 	0/0/12	1.000000e+00	2703
pipiens 	0/12/0	1.856402e-03	730
pipiens 	12/0/0	1.000000e+00	178
pipiens 	1/11/0	1.428764e-02	12
pipiens 	0/11/1	1.428764e-02	11
pipiens 	0/1/11	1.000000e+00	10
pipiens 	11/1/0	1.000000e+00	4
pipiens 	8/4/0	1.000000e+00	1
pipiens 	2/10/0	6.313097e-02	1
molestus	0/0/5	1.000000e+00	2514
molestus	0/4/1	4.285714e-01	253
molestus	0/1/4	1.000000e+00	140
molestus	0/3/2	1.000000e+00	118
molestus	0/5/0	1.269841e-01	107
molestus	0/2/3	1.000000e+00	77
molestus	4/1/0	1.000000e+00	70
molestus	1/3/1	1.000000e+00	46
molestus	1/1/3	3.333333e-01	43
molestus	1/2/2	1.000000e+00	40
molestus	2/3/0	1.000000e+00	37
molestus	1/4/0	4.285714e-01	37
molestus	1/0/4	1.111111e-01	33
molestus	2/2/1	1.000000e+00	32
molestus	3/2/0	1.000000e+00	29
molestus	4/0/1	1.111111e-01	25
molestus	2/1/2	3.650794e-01	19
molestus	2/0/3	4.761905e-02	12
molestus	3/1/1	3.333333e-01	8
molestus	5/0/0	1.000000e+00	5
molestus	3/0/2	4.761905e-02	5
