Wclust	muestra	total	dptme	d>1.tot	d>1.me
70	Mol01_se	56223	1.168	4918	2.923
70	Mol02_se	57458	1.181	5367	2.936
70	Mol03_se	59526	1.142	4414	2.919
70	Mol04_se	57884	1.157	4735	2.92
70	Mol05_se	58577	1.176	4996	3.067
70	PipFe1_se	32692	1.062	1080	2.878
70	PipFe2_se	30024	1.069	1021	3.042
70	PipFe3_se	23120	1.062	619	3.299
70	PipFe4_se	24962	1.08	980	3.027
70	PipFe5_se	630	1.022	9	2.556
70	PipFe6_se	6985	1.06	158	3.639
70	PipMa1_se	28453	1.068	945	3.04
75	Mol01_se	58261	1.169	5092	2.93
75	Mol02_se	59456	1.182	5535	2.95
75	Mol03_se	61941	1.143	4600	2.931
75	Mol04_se	59927	1.157	4858	2.937
75	Mol05_se	60648	1.175	5139	3.067
75	PipFe1_se	34540	1.062	1147	2.879
75	PipFe2_se	31716	1.069	1064	3.05
75	PipFe3_se	24283	1.063	676	3.254
75	PipFe4_se	25616	1.084	1042	3.075
75	PipFe5_se	635	1.024	9	2.667
75	PipFe6_se	7204	1.061	162	3.71
75	PipMa1_se	30006	1.069	995	3.092
80	Mol01_se	60153	1.171	5231	2.962
80	Mol02_se	61360	1.183	5733	2.961
80	Mol03_se	64069	1.147	4796	2.964
80	Mol04_se	61953	1.16	5051	2.963
80	Mol05_se	62588	1.177	5326	3.086
80	PipFe1_se	36209	1.066	1231	2.935
80	PipFe2_se	33232	1.07	1144	3.032
80	PipFe3_se	25378	1.066	728	3.31
80	PipFe4_se	26227	1.09	1088	3.165
80	PipFe5_se	639	1.03	10	2.9
80	PipFe6_se	7430	1.064	174	3.718
80	PipMa1_se	31441	1.071	1071	3.083
85	Mol01_se	62133	1.177	5468	3.008
85	Mol02_se	63407	1.191	5992	3.02
85	Mol03_se	66256	1.153	5008	3.03
85	Mol04_se	64044	1.163	5242	2.994
85	Mol05_se	64637	1.184	5590	3.126
85	PipFe1_se	37986	1.071	1371	2.969
85	PipFe2_se	34772	1.074	1248	3.073
85	PipFe3_se	26492	1.078	823	3.504
85	PipFe4_se	26862	1.094	1144	3.213
85	PipFe5_se	644	1.03	10	2.9
85	PipFe6_se	7650	1.071	190	3.863
85	PipMa1_se	32821	1.077	1174	3.158
90	Mol01_se	64605	1.186	5796	3.072
90	Mol02_se	65947	1.203	6385	3.096
90	Mol03_se	68836	1.164	5348	3.108
90	Mol04_se	66680	1.176	5617	3.084
90	Mol05_se	67110	1.194	5926	3.199
90	PipFe1_se	39874	1.082	1504	3.171
90	PipFe2_se	36466	1.08	1385	3.118
90	PipFe3_se	27688	1.091	904	3.785
90	PipFe4_se	27658	1.1	1267	3.189
90	PipFe5_se	650	1.029	10	2.9
90	PipFe6_se	7882	1.084	217	4.041
90	PipMa1_se	34376	1.087	1301	3.293
95	Mol01_se	68936	1.209	6279	3.294
95	Mol02_se	70389	1.221	6821	3.277
95	Mol03_se	73417	1.176	5851	3.21
95	Mol04_se	71303	1.201	6163	3.322
95	Mol05_se	71469	1.212	6362	3.385
95	PipFe1_se	42129	1.097	1577	3.593
95	PipFe2_se	38665	1.102	1469	3.68
95	PipFe3_se	29209	1.108	952	4.307
95	PipFe4_se	29239	1.117	1379	3.486
95	PipFe5_se	656	1.024	8	3.0
95	PipFe6_se	8195	1.077	223	3.843
95	PipMa1_se	36316	1.103	1326	3.827
99	Mol01_se	78754	1.131	5171	2.996
99	Mol02_se	80389	1.14	5604	3.013
99	Mol03_se	82897	1.112	4942	2.87
99	Mol04_se	81223	1.133	5280	3.045
99	Mol05_se	80953	1.152	5545	3.218
99	PipFe1_se	45711	1.083	1239	4.059
99	PipFe2_se	42228	1.097	1192	4.425
99	PipFe3_se	31543	1.081	715	4.558
99	PipFe4_se	32366	1.055	877	3.029
99	PipFe5_se	672	1.003	2	2.0
99	PipFe6_se	8726	1.05	151	3.861
99	PipMa1_se	39293	1.086	1107	4.042
