        hetero_est  error_est
Mol01     0.005586   0.002864
Mol02     0.004907   0.002594
Mol03     0.003985   0.002096
Mol04     0.004811   0.002214
Mol05     0.005203   0.002243
PipFe1    0.007535   0.008774
PipFe2    0.006560   0.008936
PipFe3    0.008404   0.008992
PipFe4    0.013452   0.009238
PipFe5    0.008784   0.010959
PipFe6    0.006653   0.009428
PipMa1    0.007437   0.008092
PipMa2    0.006439   0.008965
PipMa3    0.008282   0.007434
PipMa4    0.007193   0.009309
PipMa5    0.008269   0.007654
PipMa6    0.007738   0.008767
