       clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens    nsites nhetero heterozygosity
Mol01          492513               439             1217             2477        488380 136492109   88314        0.00065
Mol02          424761               399              903             1986        421473 110714265   63620        0.00057
Mol03          498533               503             1463             2367        494200 138201194   81189        0.00059
Mol04          489197               443             1511             2582        484661 134382291   88553        0.00066
Mol05          442024               266              872             1825        439061 119050888   51006        0.00043
PipFe1          43729                 4                1                8         43716  12991546     166        0.00001
PipFe2          39337                 2                0               13         39322  11681867     151        0.00001
PipFe3          30172                 2                0                9         30161   9070178     167        0.00002
PipFe4          29257                 1                1               24         29231   8558518     352        0.00004
PipFe5            678                 0                0                1           677    183076       0        0.00000
PipFe6           8427                 0                0                4          8423   2475073      50        0.00002
PipMa1          36141                 1                1                8         36131  10722348     152        0.00001
PipMa2          26792                 2                1                8         26781   7918408     136        0.00002
PipMa3          65259                 6                0               30         65223  18910126     265        0.00001
PipMa4          47688                 2                0               11         47675  14325098     193        0.00001
PipMa5          47415                 6                0               16         47393  13873978     199        0.00001
PipMa6          52654                 4                1               18         52631  15560616     230        0.00001
