        reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
Mol01     2501744                      0                      0                  1429                         0              2500315
Mol02     2151427                      0                      0                  1254                         1              2150172
Mol03     2932629                      0                      0                  1973                         0              2930656
Mol04     2726507                      0                      0                  1837                         1              2724669
Mol05     1947753                      0                      0                  1290                         2              1946461
PipFe1      55748                      0                      0                     3                         0                55745
PipFe2      50629                      0                      0                     8                         0                50621
PipFe3      37814                      0                      0                     7                         0                37807
PipFe4      37340                      0                      0                     3                         0                37337
PipFe5        714                      0                      0                     0                         0                  714
PipFe6       9854                      0                      0                     0                         0                 9854
PipMa1      46071                      0                      0                    12                         0                46059
PipMa2      33269                      0                      0                     3                         0                33266
PipMa3      88506                      0                      0                    12                         0                88494
PipMa4      61659                      0                      0                    15                         0                61644
PipMa5      62003                      0                      0                     9                         0                61994
PipMa6      69196                      0                      0                     5                         0                69191
