## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/1.molA1.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/1.molA1.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_1.molA1.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1.molA1	0	9522247	281056	2792236	0	3483367	680	0,365814	9598066

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000042
2.0	1,370854
3.0	1,50835
4.0	1,559334
5.0	1,578238
6.0	1,585248
7.0	1,587847
8.0	1,588811
9.0	1,589168
10.0	1,5893
11.0	1,58935
12.0	1,589368
13.0	1,589375
14.0	1,589377
15.0	1,589378
16.0	1,589378
17.0	1,589378
18.0	1,589378
19.0	1,589378
20.0	1,589378
21.0	1,589378
22.0	1,589378
23.0	1,589378
24.0	1,589378
25.0	1,589378
26.0	1,589378
27.0	1,589378
28.0	1,589378
29.0	1,589378
30.0	1,589378
31.0	1,589378
32.0	1,589378
33.0	1,589378
34.0	1,589378
35.0	1,589378
36.0	1,589378
37.0	1,589378
38.0	1,589378
39.0	1,589378
40.0	1,589378
41.0	1,589378
42.0	1,589378
43.0	1,589378
44.0	1,589378
45.0	1,589378
46.0	1,589378
47.0	1,589378
48.0	1,589378
49.0	1,589378
50.0	1,589378
51.0	1,589378
52.0	1,589378
53.0	1,589378
54.0	1,589378
55.0	1,589378
56.0	1,589378
57.0	1,589378
58.0	1,589378
59.0	1,589378
60.0	1,589378
61.0	1,589378
62.0	1,589378
63.0	1,589378
64.0	1,589378
65.0	1,589378
66.0	1,589378
67.0	1,589378
68.0	1,589378
69.0	1,589378
70.0	1,589378
71.0	1,589378
72.0	1,589378
73.0	1,589378
74.0	1,589378
75.0	1,589378
76.0	1,589378
77.0	1,589378
78.0	1,589378
79.0	1,589378
80.0	1,589378
81.0	1,589378
82.0	1,589378
83.0	1,589378
84.0	1,589378
85.0	1,589378
86.0	1,589378
87.0	1,589378
88.0	1,589378
89.0	1,589378
90.0	1,589378
91.0	1,589378
92.0	1,589378
93.0	1,589378
94.0	1,589378
95.0	1,589378
96.0	1,589378
97.0	1,589378
98.0	1,589378
99.0	1,589378
100.0	1,589378

