## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/2.pipA4.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/2.pipA4.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_2.pipA4.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
2.pipA4	0	19644221	1104844	10141312	0	6591741	1508	0,335556	22274536

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000048
2.0	1,414057
3.0	1,585453
4.0	1,656409
5.0	1,685784
6.0	1,697945
7.0	1,70298
8.0	1,705064
9.0	1,705927
10.0	1,706284
11.0	1,706432
12.0	1,706493
13.0	1,706519
14.0	1,706529
15.0	1,706534
16.0	1,706535
17.0	1,706536
18.0	1,706536
19.0	1,706537
20.0	1,706537
21.0	1,706537
22.0	1,706537
23.0	1,706537
24.0	1,706537
25.0	1,706537
26.0	1,706537
27.0	1,706537
28.0	1,706537
29.0	1,706537
30.0	1,706537
31.0	1,706537
32.0	1,706537
33.0	1,706537
34.0	1,706537
35.0	1,706537
36.0	1,706537
37.0	1,706537
38.0	1,706537
39.0	1,706537
40.0	1,706537
41.0	1,706537
42.0	1,706537
43.0	1,706537
44.0	1,706537
45.0	1,706537
46.0	1,706537
47.0	1,706537
48.0	1,706537
49.0	1,706537
50.0	1,706537
51.0	1,706537
52.0	1,706537
53.0	1,706537
54.0	1,706537
55.0	1,706537
56.0	1,706537
57.0	1,706537
58.0	1,706537
59.0	1,706537
60.0	1,706537
61.0	1,706537
62.0	1,706537
63.0	1,706537
64.0	1,706537
65.0	1,706537
66.0	1,706537
67.0	1,706537
68.0	1,706537
69.0	1,706537
70.0	1,706537
71.0	1,706537
72.0	1,706537
73.0	1,706537
74.0	1,706537
75.0	1,706537
76.0	1,706537
77.0	1,706537
78.0	1,706537
79.0	1,706537
80.0	1,706537
81.0	1,706537
82.0	1,706537
83.0	1,706537
84.0	1,706537
85.0	1,706537
86.0	1,706537
87.0	1,706537
88.0	1,706537
89.0	1,706537
90.0	1,706537
91.0	1,706537
92.0	1,706537
93.0	1,706537
94.0	1,706537
95.0	1,706537
96.0	1,706537
97.0	1,706537
98.0	1,706537
99.0	1,706537
100.0	1,706537

