## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/3.molM1.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/3.molM1.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_3.molM1.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
3.molM1	0	28104603	1296290	11259778	0	6124539	1991	0,217919	54741706

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000054
2.0	1,598542
3.0	1,95671
4.0	2,171057
5.0	2,299334
6.0	2,376102
7.0	2,422045
8.0	2,449539
9.0	2,465993
10.0	2,47584
11.0	2,481733
12.0	2,48526
13.0	2,487371
14.0	2,488634
15.0	2,48939
16.0	2,489842
17.0	2,490113
18.0	2,490275
19.0	2,490372
20.0	2,49043
21.0	2,490464
22.0	2,490485
23.0	2,490498
24.0	2,490505
25.0	2,49051
26.0	2,490512
27.0	2,490514
28.0	2,490515
29.0	2,490515
30.0	2,490516
31.0	2,490516
32.0	2,490516
33.0	2,490516
34.0	2,490516
35.0	2,490516
36.0	2,490516
37.0	2,490516
38.0	2,490516
39.0	2,490516
40.0	2,490516
41.0	2,490516
42.0	2,490516
43.0	2,490516
44.0	2,490516
45.0	2,490516
46.0	2,490516
47.0	2,490516
48.0	2,490516
49.0	2,490516
50.0	2,490516
51.0	2,490516
52.0	2,490516
53.0	2,490516
54.0	2,490516
55.0	2,490516
56.0	2,490516
57.0	2,490516
58.0	2,490516
59.0	2,490516
60.0	2,490516
61.0	2,490516
62.0	2,490516
63.0	2,490516
64.0	2,490516
65.0	2,490516
66.0	2,490516
67.0	2,490516
68.0	2,490516
69.0	2,490516
70.0	2,490516
71.0	2,490516
72.0	2,490516
73.0	2,490516
74.0	2,490516
75.0	2,490516
76.0	2,490516
77.0	2,490516
78.0	2,490516
79.0	2,490516
80.0	2,490516
81.0	2,490516
82.0	2,490516
83.0	2,490516
84.0	2,490516
85.0	2,490516
86.0	2,490516
87.0	2,490516
88.0	2,490516
89.0	2,490516
90.0	2,490516
91.0	2,490516
92.0	2,490516
93.0	2,490516
94.0	2,490516
95.0	2,490516
96.0	2,490516
97.0	2,490516
98.0	2,490516
99.0	2,490516
100.0	2,490516

