## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/5.molS1.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/5.molS1.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_5.molS1.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
5.molS1	0	14841508	779160	4643462	0	2504774	1151	0,168768	38883498

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000064
2.0	1,682813
3.0	2,148929
4.0	2,467149
5.0	2,6844
6.0	2,832719
7.0	2,933976
8.0	3,003105
9.0	3,0503
10.0	3,082521
11.0	3,104517
12.0	3,119535
13.0	3,129787
14.0	3,136787
15.0	3,141565
16.0	3,144828
17.0	3,147055
18.0	3,148575
19.0	3,149613
20.0	3,150322
21.0	3,150806
22.0	3,151136
23.0	3,151362
24.0	3,151516
25.0	3,151621
26.0	3,151693
27.0	3,151742
28.0	3,151775
29.0	3,151798
30.0	3,151813
31.0	3,151824
32.0	3,151831
33.0	3,151836
34.0	3,15184
35.0	3,151842
36.0	3,151844
37.0	3,151845
38.0	3,151845
39.0	3,151846
40.0	3,151846
41.0	3,151846
42.0	3,151847
43.0	3,151847
44.0	3,151847
45.0	3,151847
46.0	3,151847
47.0	3,151847
48.0	3,151847
49.0	3,151847
50.0	3,151847
51.0	3,151847
52.0	3,151847
53.0	3,151847
54.0	3,151847
55.0	3,151847
56.0	3,151847
57.0	3,151847
58.0	3,151847
59.0	3,151847
60.0	3,151847
61.0	3,151847
62.0	3,151847
63.0	3,151847
64.0	3,151847
65.0	3,151847
66.0	3,151847
67.0	3,151847
68.0	3,151847
69.0	3,151847
70.0	3,151847
71.0	3,151847
72.0	3,151847
73.0	3,151847
74.0	3,151847
75.0	3,151847
76.0	3,151847
77.0	3,151847
78.0	3,151847
79.0	3,151847
80.0	3,151847
81.0	3,151847
82.0	3,151847
83.0	3,151847
84.0	3,151847
85.0	3,151847
86.0	3,151847
87.0	3,151847
88.0	3,151847
89.0	3,151847
90.0	3,151847
91.0	3,151847
92.0	3,151847
93.0	3,151847
94.0	3,151847
95.0	3,151847
96.0	3,151847
97.0	3,151847
98.0	3,151847
99.0	3,151847
100.0	3,151847

