## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/6.mixS2.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/6.mixS2.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_6.mixS2.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
6.mixS2	0	27809494	1029906	5847496	0	6288436	1819	0,226126	51832798

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000049
2.0	1,584856
3.0	1,926838
4.0	2,126822
5.0	2,243768
6.0	2,312155
7.0	2,352147
8.0	2,375533
9.0	2,389209
10.0	2,397206
11.0	2,401883
12.0	2,404617
13.0	2,406217
14.0	2,407152
15.0	2,407699
16.0	2,408018
17.0	2,408205
18.0	2,408315
19.0	2,408379
20.0	2,408416
21.0	2,408438
22.0	2,408451
23.0	2,408458
24.0	2,408463
25.0	2,408465
26.0	2,408467
27.0	2,408468
28.0	2,408468
29.0	2,408468
30.0	2,408469
31.0	2,408469
32.0	2,408469
33.0	2,408469
34.0	2,408469
35.0	2,408469
36.0	2,408469
37.0	2,408469
38.0	2,408469
39.0	2,408469
40.0	2,408469
41.0	2,408469
42.0	2,408469
43.0	2,408469
44.0	2,408469
45.0	2,408469
46.0	2,408469
47.0	2,408469
48.0	2,408469
49.0	2,408469
50.0	2,408469
51.0	2,408469
52.0	2,408469
53.0	2,408469
54.0	2,408469
55.0	2,408469
56.0	2,408469
57.0	2,408469
58.0	2,408469
59.0	2,408469
60.0	2,408469
61.0	2,408469
62.0	2,408469
63.0	2,408469
64.0	2,408469
65.0	2,408469
66.0	2,408469
67.0	2,408469
68.0	2,408469
69.0	2,408469
70.0	2,408469
71.0	2,408469
72.0	2,408469
73.0	2,408469
74.0	2,408469
75.0	2,408469
76.0	2,408469
77.0	2,408469
78.0	2,408469
79.0	2,408469
80.0	2,408469
81.0	2,408469
82.0	2,408469
83.0	2,408469
84.0	2,408469
85.0	2,408469
86.0	2,408469
87.0	2,408469
88.0	2,408469
89.0	2,408469
90.0	2,408469
91.0	2,408469
92.0	2,408469
93.0	2,408469
94.0	2,408469
95.0	2,408469
96.0	2,408469
97.0	2,408469
98.0	2,408469
99.0	2,408469
100.0	2,408469

