## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/8.torM4.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/8.torM4.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_8.torM4.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
8.torM4	0	11416990	662398	10735268	0	4513528	906	0,395334	10311516

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000043
2.0	1,330538
3.0	1,43976
4.0	1,475856
5.0	1,487785
6.0	1,491727
7.0	1,49303
8.0	1,493461
9.0	1,493603
10.0	1,49365
11.0	1,493666
12.0	1,493671
13.0	1,493672
14.0	1,493673
15.0	1,493673
16.0	1,493673
17.0	1,493673
18.0	1,493673
19.0	1,493673
20.0	1,493673
21.0	1,493673
22.0	1,493673
23.0	1,493673
24.0	1,493673
25.0	1,493673
26.0	1,493673
27.0	1,493673
28.0	1,493673
29.0	1,493673
30.0	1,493673
31.0	1,493673
32.0	1,493673
33.0	1,493673
34.0	1,493673
35.0	1,493673
36.0	1,493673
37.0	1,493673
38.0	1,493673
39.0	1,493673
40.0	1,493673
41.0	1,493673
42.0	1,493673
43.0	1,493673
44.0	1,493673
45.0	1,493673
46.0	1,493673
47.0	1,493673
48.0	1,493673
49.0	1,493673
50.0	1,493673
51.0	1,493673
52.0	1,493673
53.0	1,493673
54.0	1,493673
55.0	1,493673
56.0	1,493673
57.0	1,493673
58.0	1,493673
59.0	1,493673
60.0	1,493673
61.0	1,493673
62.0	1,493673
63.0	1,493673
64.0	1,493673
65.0	1,493673
66.0	1,493673
67.0	1,493673
68.0	1,493673
69.0	1,493673
70.0	1,493673
71.0	1,493673
72.0	1,493673
73.0	1,493673
74.0	1,493673
75.0	1,493673
76.0	1,493673
77.0	1,493673
78.0	1,493673
79.0	1,493673
80.0	1,493673
81.0	1,493673
82.0	1,493673
83.0	1,493673
84.0	1,493673
85.0	1,493673
86.0	1,493673
87.0	1,493673
88.0	1,493673
89.0	1,493673
90.0	1,493673
91.0	1,493673
92.0	1,493673
93.0	1,493673
94.0	1,493673
95.0	1,493673
96.0	1,493673
97.0	1,493673
98.0	1,493673
99.0	1,493673
100.0	1,493673

